,pv
1157,149467070.01667422
1158,267565225.64820996
1159,178034748.98620474
1160,252414986.4270892
1161,194394251.69003814
1162,224619246.8479658
1163,147215572.28342518
1164,175251598.41599804
1165,194548928.36995393
1166,285571887.53290313
1167,213397759.23621213
1168,198866604.90544856
1169,132461283.47860368
1170,176112942.47239372
1171,357317743.44901526
1172,225674440.38041264
1173,199836716.18569994
1174,386269704.9428869
1175,752413163.8730623
1176,199818964.0042691
1177,181883940.19643724
1178,151348520.29337648
1179,173012650.38464066
1180,275157836.1609618
1181,242283650.8166006
1182,134961647.7799068
1183,170111485.27478993
1184,184063186.20503193
1185,129859512.42429666
1186,124105998.31983769
1187,229936616.63611385
1188,148676832.40702254
1189,146399913.34656268
1190,140315334.659676
1191,150757862.44184005
1192,230810639.09861064
1193,199235398.33306408
1194,173131602.8492181
1195,253265845.06700596
1196,441208017.86980706
1197,306933008.62387854
1198,257537174.49592912
1199,315159383.9303025
1200,102144726.44279958
1201,182281617.49045345
1202,160374498.097088
1203,169600897.1916471
1204,208921993.53293157
1205,149062709.7155556
1206,127901306.05572917
1207,233305122.17016754
1208,142014918.6357641
1209,288395632.04891264
1210,724725346.4733548
1211,122645268.83127716
1212,133264787.47924757
1213,134663803.01346034
1214,206537841.53914413
1215,191977240.80314457
1216,239002472.9648886
1217,133414590.27338378
1218,203820038.34293935
1219,180523495.57778013
1220,264435213.92533085
1221,264353319.23586902
1222,167193513.1069397
1223,216779005.3272322
1224,156657901.19401062
1225,138159230.75627282
1226,165144214.39204013
1227,157305227.13089895
1228,388939920.96320856
1229,183639026.8579669
1230,161643990.5087483
1231,194810444.52490047
1232,330663015.50260466
1233,357312793.5767048
1234,325226429.3856305
1235,249668689.03742278
1236,217674340.4253507
1237,240789425.46590948
1238,119984107.69261181
1239,408769396.00420845
1240,171451323.22485763
1241,226977665.12539405
1242,158152855.7772615
1243,155615743.16229862
1244,249013700.29168805
1245,253391134.02052456
1246,125003191.52406067
1247,199836767.98785445
1248,231886067.8165577
1249,122893962.17756812
1250,135638093.71408072
1251,146712515.2931341
1252,280492809.5464641
1253,233224806.28838247
1254,395586596.42779934
1255,228498204.76010764
1256,143088324.16203886
1257,264144362.29708168
1258,209820883.69967145
1259,296037966.8323388
1260,97522361.48934951
1261,227350861.6157179
1262,170477241.5707792
1263,173268995.01618603
1264,259301397.70223612
1265,115751780.54210861
1266,117993242.33015192
1267,120904784.3949875
1268,161145177.75791436
1269,154073798.95251614
1270,137906230.64951864
1271,221736927.4899942
1272,313647485.7031808
1273,203443669.05804113
1274,196024793.7265097
1275,614749627.6804646
1276,144228492.59843305
1277,133920093.1935261
1278,225362874.57528394
1279,148010653.4035786
1280,296560718.0813626
1281,380427294.511899
1282,166509995.0580771
1283,188356185.42417583
1284,225466079.49581096
1285,367837082.55825835
1286,163226514.66280866
1287,163109584.41538393
1288,213783920.11627853
1289,342605063.56579214
1290,211022676.72825247
1291,212473456.82632804
1292,251454383.41828805
1293,273009507.47063327
1294,178416932.14150015
1295,284159073.05917716
1296,283942577.81475264
1297,179159271.1005991
1298,106490834.86623138
1299,442869738.7647491
1300,270258638.20990545
1301,198507189.49918056
1302,175652855.6615854
1303,167630066.3567974
1304,197371505.123762
1305,130289959.2125259
1306,122629142.22434859
1307,167963412.9510862
1308,127412293.41921626
1309,365509012.45571476
1310,227235976.9289464
