,pv
1327,400688639.8199766
1328,138246575.48813877
1329,248841840.17715836
1330,188349660.1233645
1331,137626861.43933347
1332,175807233.66003168
1333,236975918.90061378
1334,536567570.31613797
1335,538746959.8309351
1336,134398041.89616668
1337,107367586.39783327
1338,209586870.9584182
1339,478830245.5028323
1340,112498207.54080987
1341,198744680.2665416
1342,136054907.06714043
1343,133301782.40404499
1344,146739601.68250263
1345,120861509.89675121
1346,227812306.7956341
1347,181143084.34191722
1348,168579919.50716972
1349,233390092.544826
1350,218052059.40763456
1351,102550202.16476527
1352,179797870.58596355
1353,207750167.7863438
1354,375731370.0105997
1355,273075596.01213694
1356,481417374.1993026
1357,189893592.76711753
1358,135133458.2825354
1359,304822703.0511753
1360,323529458.83753264
1361,182797117.9282251
1362,319113382.8064877
1363,441973245.0408257
1364,139788175.41511348
1365,205226303.941363
